"year","Year.Code","month","Month.Code","Deaths","Population","Crude.Rate","Crude.Rate.Lower.95..Confidence.Interval","Crude.Rate.Upper.95..Confidence.Interval","Crude.Rate.Standard.Error","X..of.Total.Deaths","population","date_yr_mnth"
2018,2018,7,"2018/07",225111,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",326687501,2018-07-01
2018,2018,8,"2018/08",224254,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",326687501,2018-08-01
2018,2018,9,"2018/09",218696,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",326687501,2018-09-01
2018,2018,10,"2018/10",233903,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",326687501,2018-10-01
2018,2018,11,"2018/11",233375,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",326687501,2018-11-01
2018,2018,12,"2018/12",249280,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",326687501,2018-12-01
2019,2019,1,"2019/01",257649,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",328239523,2019-01-01
2019,2019,2,"2019/02",232821,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-02-01
2019,2019,3,"2019/03",254929,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-03-01
2019,2019,4,"2019/04",235254,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-04-01
2019,2019,5,"2019/05",236893,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-05-01
2019,2019,6,"2019/06",225422,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-06-01
2019,2019,7,"2019/07",229211,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-07-01
2019,2019,8,"2019/08",227280,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-08-01
2019,2019,9,"2019/09",222715,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-09-01
2019,2019,10,"2019/10",237661,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-10-01
2019,2019,11,"2019/11",239028,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",328239523,2019-11-01
2019,2019,12,"2019/12",255975,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",328239523,2019-12-01
2020,2020,1,"2020/01",264062,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-01-01
2020,2020,2,"2020/02",244431,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",331577720,2020-02-01
2020,2020,3,"2020/03",269239,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-03-01
2020,2020,4,"2020/04",321879,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.6%",331577720,2020-04-01
2020,2020,5,"2020/05",280152,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-05-01
2020,2020,6,"2020/06",249993,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",331577720,2020-06-01
2020,2020,7,"2020/07",278409,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-07-01
2020,2020,8,"2020/08",276731,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-08-01
2020,2020,9,"2020/09",256732,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-09-01
2020,2020,10,"2020/10",273443,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-10-01
2020,2020,11,"2020/11",302090,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.5%",331577720,2020-11-01
2020,2020,12,"2020/12",366568,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.6%",331577720,2020-12-01
